43,283,Corkstown Park,61 Corkstown Road,Nepean,3,0,3,yes/oui,yes/oui,no/non,yes/oui,no/non,no/non
44,null,null,504 Sir George-Etienne Cartier Parkway,Rockcliffe Park,11,0,11,yes/oui,yes/oui,yes/oui,yes/oui,no/non,no/non
45,null,null,176 Cameron Avenue,Ottawa,18,0,18,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui
46,164,Beaverbrook Park,2500 Campeau Drive,Kanata,8,0,8,yes/oui,yes/oui,no/non,yes/oui,no/non,no/non
47,2457,Diamond Jubilee Park,2810 Findlay Creek Drive / 4008 Kelly Farm Drive,Gloucester,2,0,2,null,no/non,yes/oui,yes/oui,no/non,no/non
48,null,null,815 St. Laurent Boulevard,Ottawa,4,0,4,no/non,no/non,no/non,yes/oui,no/non,no/non
49,null,null,1125 Colonel By Drive,Ottawa,5,4,1,yes/oui,yes/oui,yes/oui,yes/oui,no/non,no/non
50,582,Larkin Park,76 Larkin Drive,Nepean,8,0,8,yes/oui,yes/oui,no/non,yes/oui,no/non,yes/oui
51,1960,Provence Park,2095 Provence Avenue,Cumberland,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
52,null,null,2410 Georgina Drive,Ottawa,4,0,4,no/non,no/non,no/non,yes/oui,no/non,no/non
53,null,null,2597 Alta VIsta Drive,Ottawa,4,0,4,no/non,no/non,no/non,yes/oui,no/non,no/non
54,22,Frank Ryan Park,950 Alpine Avenue,Ottawa,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,yes/oui
55,320,Steve MacLean Park,1190 Deer Park Road,Nepean,4,0,4,no/non,yes/oui,no/non,no/non,no/non,yes/oui
56,234,General Burns Park,107 Chesterton Drive,Nepean,4,0,4,yes/oui,no/non,no/non,yes/oui,yes/oui,yes/oui
57,1163,McKellar Park,539 Wavell Avenue,Ottawa,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
58,1700,Beaverbrook Pool Park,5 Beaverbrook Road,Kanata,2,0,2,no/non,no/non,no/non,yes/oui,no/non,no/non
59,1001,Four Seasons Park,4386 Spratt Road,Gloucester,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
60,1005,St. Francois Park,1855 Simard Drive,Gloucester,1,0,1,no/non,no/non,yes/oui,yes/oui,no/non,no/non
61,476,Racette Park,1410 Henri Lauzon Street,Gloucester,2,0,2,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non
62,458,Judge Park,837 Grenon Avenue,Ottawa,2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non
