050   0582   Nepean       Larkin Park                                                   76 Larkin Drive                                     8    0    8        Y        Y        N        Y        N        Y
051   1960   Cumberland   Provence Park                                                 2095 Provence Avenue                                2    0    2        N        N        Y        Y        N        N
052   0000   Ottawa       null                                                          2410 Georgina Drive                                 4    0    4        N        N        N        Y        N        N
053   0000   Ottawa       null                                                          2597 Alta VIsta Drive                               4    0    4        N        N        N        Y        N        N
054   0022   Ottawa       Frank Ryan Park                                               950 Alpine Avenue                                   2    0    2        N        N        Y        Y        N        Y
055   0320   Nepean       Steve MacLean Park                                            1190 Deer Park Road                                 4    0    4        N        Y        N        N        N        Y
056   0234   Nepean       General Burns Park                                            107 Chesterton Drive                                4    0    4        Y        N        N        Y        Y        Y
057   1163   Ottawa       McKellar Park                                                 539 Wavell Avenue                                   2    0    2        N        N        Y        Y        N        N
058   1700   Kanata       Beaverbrook Pool Park                                         5 Beaverbrook Road                                  2    0    2        N        N        N        Y        N        N
059   1001   Gloucester   Four Seasons Park                                             4386 Spratt Road                                    2    0    2        N        N        Y        Y        N        N
060   1005   Gloucester   St. Francois Park                                             1855 Simard Drive                                   1    0    1        N        N        Y        Y        N        N
061   0476   Gloucester   Racette Park                                                  1410 Henri Lauzon Street                            2    0    2        Y        N        Y        Y        N        N
062   0458   Ottawa       Judge Park                                                    837 Grenon Avenue                                   2    0    2        N        N        Y        Y        N        N
063   0000   Ottawa       null                                                          1900 Dauphin Road                                   4    0    4        Y        N        N        Y        N        Y
064   0631   Ottawa       Bruff Park                                                    250 Lorry Greenberg Drive                           2    0    2        N        N        Y        Y        N        N
065   0543   Ottawa       Kaladar Park                                                  2554 Kaladar Avenue                                 2    0    2        N        N        Y        Y        N        N
066   0000   Gloucester   null                                                          2381 Ogilvie Road                                   7    0    7        Y        N        Y        Y        N        N
067   0843   Cumberland   Kinsella Park                                                 1600 Prestwick Drive                                4    0    4        Y        Y        Y        Y        N        N
068   2540   null         Howard A. Maguire Park                                        560 Parade Drive                                    1    0    1        N        N        Y        Y        N        N
069   1323   Gloucester   Longleaf Park                                                 5831 Gladewoods Place                               2    0    2        Y        N        Y        Y        N        Y
070   0000   Ottawa       null                                                          1349 Randal Avenue                                  2    0    2        N        N        N        Y        N        N
071   2507   null         Guinness Park                                                 120 Ramsgrange Street                               2    0    2        N        N        Y        Y        N        N
072   2553   Kanata       Devonian Park                                                 171 Escarpment Crescent                             1    0    1        N        N        Y        Y        N        N
073   0120   Ottawa       Elizabeth Manley Park                                         1161 Blohm Drive                                    2    0    2        N        N        Y        Y        N        N
074   1122   Ottawa       Uplands Park                                                  3165 Uplands Drive                                  2    0    2        N        N        Y        Y        N        N
075   0385   Ottawa       Fairmont Park                                                 265 Fairmont Avenue                                 2    0    2        N        N        Y        Y        N        N
076   0150   Ottawa       Bordeleau Park                                                349 Bruyere Street                                  2    0    2        N        N        Y        Y        N        N
077   1186   Ottawa       Windsor Park Ottawa                                           1B Windsor Avenue                                   4    0    4        N        N        N        Y        N        N
078   1109   Ottawa       Pinecrest Recreation Complex and Park                         2250 Torquay Avenue                                 4    0    4        N        N        Y        Y        N        N
079   2389   Nepean       Half Moon Bay Park                                            3525 Cambrian Road                                  2    0    2        Y        N        N        Y        N        N
080   2488   Osgoode      Greely Village Park                                           7292 Parkway Road                                   2    0    2        Y        N        N        Y        N        N
081   0456   Ottawa       Greenlawn Park                                                1145 Greenlawn Crescent                             2    0    2        N        N        Y        Y        N        N
082   0438   Kanata       Jim Malone Park                                               400 Goldridge Drive                                 1    0    1        Y        N        N        Y        N        N
083   2599   Ottawa       Eugene Martineau Park                                         710 Mikinak Road                                    2    0    2        Y        N        Y        N        N        N
084   0506   Goulbourn    Richmond Lions Community Park                                 3302 Huntley Road                                   2    0    2        Y        N        N        Y        N        Y
085   0990   Gloucester   Windsor Park Gloucester                                       3560 Wyman Place                                    1    0    1        N        N        Y        Y        N        N
086   1111   Gloucester   Trappers Park                                                 3580 Trapper's Road                                 1    0    1        N        N        Y        Y        N        N
087   0484   Gloucester   Kemp Park                                                     11 Robert Kemp Street                               1    0    1        N        N        Y        Y        N        Y
088   0010   Gloucester   Aladdin Park                                                  3939 Albion Road                                    2    0    2        Y        N        Y        Y        N        N
089   0048   Ottawa       Cecil Morrison Park                                           1332 Avenue N                                       1    0    1        N        N        N        Y        N        N
090   0101   Nepean       Trend-Arlington Park                                          50 Bellman Drive                                    4    0    4        Y        Y        Y        Y        Y        Y
091   0107   Gloucester   Bilberry Park                                                 6600 Bilberry Drive                                 2    0    2        N        N        Y        Y        N        N
092   0132   Ottawa       Manor Park                                                    100 Braemar Street                                  2    0    2        N        N        Y        Y        N        N
093   0235   Kanata       Cattail Creek Park                                            38 Chimo Drive                                      2    0    2        N        N        N        Y        N        N
094   0267   Cumberland   Navan Centennial Park                                         1279 Colonial Road                                  2    0    2        N        N        Y        Y        N        N
095   0330   Rideau       Centennial Park                                               5572 Doctor Leach Drive                             6    0    6        Y        Y        Y        Y        N        N
096   0343   Cumberland   Queenswood Heights Centennial Park and Community Centre       1485 Duford Drive                                   3    0    3        Y        N        Y        Y        N        N
097   0377   Gloucester   Elmridge Park                                                 1841 Elmridge Drive                                 4    0    4        Y        Y        N        Y        N        N
098   0415   Ottawa       St. Luke's Park                                               166 Frank Street                                    2    0    2        Y        N        Y        Y        N        N
099   0449   Nepean       Craig Henry Park                                              135 Craig Henry Drive                               8    0    8        Y        Y        Y        Y        Y        Y
100   0495   Ottawa       Fisher Park                                                   250 Holland Avenue                                  6    0    6        Y        Y        N        Y        N        N
101   0591   Cumberland   Marsha Park                                                   855 Lawnsberry Drive                                2    0    2        Y        N        N        Y        N        N
102   0613   Ottawa       Lexington Park                                                1404 Lexington Street                               2    0    2        N        N        Y        Y        N        N
103   0653   Osgoode      Osgoode Community Centre                                      5660 Osgoode Main Street                            2    0    2        Y        N        Y        Y        N        N
104   0963   Nepean       Davidson Park                                                 5 Ryerson Avenue                                    2    0    2        Y        N        Y        Y        N        N
105   0964   Gloucester   Sieveright Park                                               2999 Sable Ridge Drive                              2    0    2        Y        N        Y        Y        N        N
106   1021   Ottawa       Sheffield Glen Park                                           2320 Southvale Crescent                             2    0    2        N        N        N        Y        N        N
107   1053   Gloucester   Pierre Rocque Park                                            1257 Joseph Drouin Avenue                           2    0    2        Y        N        Y        Y        N        N
108   1056   Ottawa       New Edinburgh Park                                            193 Stanley Avenue                                  2    0    2        N        N        Y        Y        N        Y
109   1080   Nepean       Lynwood Park                                                  7 Sycamore Drive                                    4    0    4        Y        Y        N        Y        N        Y
110   2633   null         Rouncey Park                                                  590 Rouncey Road                                    2    0    2        Y        N        N        Y        N        N
111   0000   Vanier       null                                                          1 Donald Street                                    19    6   13        Y        Y        Y        Y        N        N
112   0541   West Carle   Huntley Community Centre                                      108 Juanita Avenue                                  2    0    2        Y        N        Y        Y        N        Y
113   0808   Ottawa       R. George Pushman Park                                        1270 Pebble Road                                    3    0    3        N        N        N        Y        N        N
114   0031   Ottawa       Carleton Heights Park                                         1665 Apeldoorn Avenue                               2    0    2        N        N        N        N        N        N
115   0141   Ottawa       Lincoln Heights Park                                          265 Britannia Road                                  2    0    2        N        N        Y        Y        N        N
116   0921   Vanier       Riverain Park                                                 400 North River Road                                4    0    4        Y        N        Y        Y        N        N
